Trajectories
100
,,S36:LKNM,,,S36:RKNM,,,S36:LMED,,,S36:RMED,,,S36:LASI,,,S36:RASI,,,S36:LPSI,,,S36:RPSI,,,S36:LTHI,,,S36:LKNE,,,S36:LTIB,,,S36:LANK,,,S36:LHEE,,,S36:LTOE,,,S36:RTHI,,,S36:RKNE,,,S36:RTIB,,,S36:RANK,,,S36:RHEE,,,S36:RTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
20,0,-611.261230,242.160995,528.381409,-632.382385,341.857391,533.118958,-597.889099,198.233948,137.778259,-603.407043,401.695129,134.356766,-737.564270,162.976822,1063.149170,-739.441711,421.722015,1061.001587,-539.635437,242.322189,1067.580078,-540.892578,340.611237,1067.533569,-655.548828,109.722878,696.396423,-604.515564,115.539391,549.422913,-577.072815,89.617798,372.236511,-581.002319,107.364311,118.305725,-506.592682,158.103485,72.909218,-768.107971,127.951431,84.854179,-640.563660,463.903290,661.727417,-612.688232,465.850128,550.095459,-595.565308,502.280304,360.200867,-594.033569,492.287109,127.254204,-515.745056,453.774963,74.722916,-778.602844,465.076630,83.620979
21,0,-611.187500,242.150269,528.395752,-632.341919,341.852875,533.114014,-597.891907,198.232620,137.790497,-603.397278,401.707520,134.356903,-737.398682,162.957825,1063.143677,-739.337708,421.654541,1061.006714,-539.515930,242.307480,1067.606934,-540.776428,340.612518,1067.551758,-655.416260,109.687309,696.423645,-604.397644,115.527542,549.420959,-577.004456,89.615570,372.217072,-580.993042,107.360428,118.290413,-506.593750,158.102692,72.931053,-768.102112,127.953064,84.862251,-640.490051,463.884674,661.730042,-612.594971,465.843689,550.109131,-595.524048,502.278259,360.229431,-594.026062,492.288727,127.265709,-515.730347,453.777588,74.725182,-778.615112,465.081360,83.639229
22,0,-611.077637,242.128220,528.413879,-632.204041,341.831390,533.141296,-597.872009,198.206543,137.781479,-603.412598,401.705139,134.354279,-737.261780,162.914032,1063.161133,-739.079895,421.363861,1061.009277,-539.405212,242.318497,1067.618774,-540.668945,340.593689,1067.571655,-655.302429,109.699867,696.415039,-604.296875,115.520897,549.424988,-576.931274,89.607605,372.224304,-580.989807,107.350105,118.293854,-506.598541,158.117920,72.925812,-768.098633,127.945648,84.882355,-640.398560,463.874817,661.731567,-612.537354,465.829926,550.104858,-595.475891,502.283936,360.227661,-594.008972,492.292938,127.267807,-515.722046,453.776428,74.731491,-778.619263,465.082794,83.652023
23,0,-610.969177,242.099014,528.395752,-632.089661,341.819794,533.127441,-597.838074,198.236618,137.780472,-603.395264,401.742645,134.347015,-737.153931,162.868195,1063.167114,-738.970154,421.339142,1060.986816,-539.268555,242.283279,1067.635010,-540.537048,340.578217,1067.580200,-655.169434,109.675621,696.416748,-604.138306,115.492325,549.427002,-576.854919,89.593437,372.218323,-580.970703,107.345169,118.296852,-506.592438,158.122223,72.918144,-768.093994,127.949226,84.879272,-640.291992,463.844910,661.713745,-612.447083,465.817749,550.098938,-595.421448,502.284943,360.210876,-594.007080,492.299133,127.257256,-515.708069,453.767853,74.719666,-778.610962,465.083588,83.650024
24,0,-610.866821,242.064575,528.381653,-631.983032,341.805389,533.104858,-597.842529,198.233688,137.774536,-603.392578,401.742462,134.346786,-737.029663,162.830063,1063.154297,-738.852234,421.310028,1060.954956,-539.138733,242.263641,1067.656860,-540.417419,340.541656,1067.593262,-655.035400,109.666557,696.411316,-604.014038,115.464043,549.419067,-576.776001,89.584389,372.207642,-580.968384,107.342758,118.277771,-506.588348,158.112946,72.896492,-768.094543,127.961876,84.872597,-640.158997,463.820618,661.700745,-612.362183,465.807983,550.088379,-595.355164,502.257233,360.195343,-594.005005,492.294159,127.243195,-515.718201,453.791107,74.706985,-778.615723,465.089691,83.651329
25,0,-610.730042,242.043549,528.382446,-631.901917,341.794708,533.078369,-597.839294,198.203857,137.767914,-603.380493,401.734619,134.351791,-736.902466,162.783463,1063.142822,-738.874756,421.462524,1060.944336,-538.999023,242.250198,1067.671509,-540.309143,340.521118,1067.607178,-654.918518,109.647537,696.405334,-603.872009,115.443314,549.433899,-576.707336,89.560852,372.191315,-580.961914,107.337143,118.276039,-506.576111,158.118484,72.903511,-768.090515,127.950562,84.883644,-640.034241,463.809601,661.702148,-612.263611,465.800537,550.084167,-595.283020,502.255798,360.205536,-593.989441,492.300049,127.241241,-515.708984,453.794800,74.700928,-778.598877,465.086304,83.666061
26,0,-610.594299,241.999466,528.400879,-631.800781,341.773407,533.044556,-597.832642,198.211121,137.786713,-603.380615,401.742676,134.337433,-736.791138,162.769272,1063.121094,-738.791565,421.443298,1060.930054,-538.870972,242.223709,1067.701904,-540.185730,340.499176,1067.628540,-654.750793,109.591072,696.420898,-603.730835,115.406464,549.425598,-576.631042,89.539612,372.176636,-580.942444,107.323219,118.270439,-506.587799,158.110138,72.894806,-768.093323,127.940254,84.900909,-639.917480,463.781799,661.695618,-612.142517,465.759277,550.089111,-595.209595,502.233276,360.210083,-593.974670,492.311218,127.240196,-515.695496,453.787994,74.702301,-778.608948,465.087524,83.670258
27,0,-610.464172,242.006378,528.407593,-631.697571,341.762573,533.056885,-597.779236,198.224121,137.774094,-603.407410,401.751007,134.336685,-736.687073,162.731567,1063.124268,-738.650330,421.408936,1060.910767,-538.743713,242.193253,1067.740479,-540.067932,340.474823,1067.653076,-654.629944,109.537766,696.435791,-603.693665,115.433342,549.390625,-576.578491,89.528763,372.166687,-580.944397,107.332848,118.267387,-506.584106,158.110016,72.879944,-768.087158,127.952187,84.905327,-639.777832,463.783173,661.685730,-612.031067,465.761169,550.095520,-595.146545,502.255249,360.202667,-593.957275,492.309387,127.239449,-515.707031,453.790558,74.683479,-778.597290,465.087067,83.668213
28,0,-610.299255,241.976776,528.388550,-631.611389,341.734741,533.029724,-597.777771,198.217072,137.775589,-603.367126,401.724823,134.323959,-736.561768,162.698166,1063.113037,-738.505066,421.411102,1060.885132,-538.624207,242.150360,1067.781372,-539.949585,340.440338,1067.671997,-654.479431,109.509972,696.406921,-603.565369,115.378548,549.388916,-576.495056,89.520485,372.134888,-580.938965,107.319038,118.238541,-506.580292,158.087692,72.867325,-768.080688,127.948669,84.895172,-639.634766,463.748474,661.664551,-611.922913,465.749695,550.065063,-595.089294,502.229736,360.177399,-593.947571,492.314056,127.213554,-515.693604,453.788727,74.677452,-778.598877,465.084381,83.656151
29,0,-610.249390,241.860046,528.389832,-631.528076,341.725311,533.014404,-597.779175,198.180573,137.775055,-603.329651,401.721497,134.343979,-736.464844,162.688644,1063.143433,-738.393982,421.403351,1060.883301,-538.509399,242.141861,1067.812012,-539.822083,340.412506,1067.714355,-654.369507,109.482124,696.401550,-603.458679,115.356476,549.392029,-576.437317,89.502029,372.139648,-580.940308,107.300896,118.249962,-506.590851,158.095230,72.848877,-768.083008,127.959877,84.899406,-639.516479,463.737732,661.667175,-611.825684,465.732483,550.052856,-595.020935,502.223419,360.171997,-593.934021,492.327728,127.212776,-515.691162,453.798645,74.674088,-778.602539,465.090088,83.669113
