Trajectories
100
,,s02:LKNM,,,s02:RKNM,,,s02:LMED,,,s02:RMED,,,s02:LASI,,,s02:RASI,,,s02:LPSI,,,s02:RPSI,,,s02:LTHI,,,s02:LKNE,,,s02:LTIB,,,s02:LANK,,,s02:LHEE,,,s02:LTOE,,,s02:RTHI,,,s02:RKNE,,,s02:RTIB,,,s02:RANK,,,s02:RHEE,,,s02:RTOE,,,s02:RKNEM,,,s02:LKNEM,,,s02:LANKM,,,s02:RANKM,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
20,0,-471.424164,259.394989,482.127899,-467.199860,383.364105,473.874817,-436.377380,195.918137,100.353897,-412.236755,441.439667,102.836304,-556.205811,190.554840,1017.124512,-547.389160,433.221161,1013.778076,-376.643890,253.164734,1072.833984,-368.217468,349.127167,1075.426270,-487.867767,141.594086,703.943848,-480.655121,157.548996,514.420349,-441.288300,120.607895,325.055389,-414.425049,116.821846,102.034912,-355.629181,148.357468,51.470230,-598.167053,144.442108,47.514042,-457.349182,504.704346,779.698730,-464.941956,485.631470,509.467194,-411.670837,519.369202,358.866058,-393.343353,520.819763,99.463448,-334.429596,482.086792,52.921635,-579.050659,505.506805,48.266510,,,,,,,,,,,,
21,0,-471.400391,259.417480,482.114471,-467.178314,383.635651,474.110199,-436.375732,195.915726,100.355469,-412.231903,441.434326,102.833092,-556.178711,190.541351,1017.144348,-547.377319,433.225647,1013.787598,-376.639557,253.163605,1072.816162,-368.218170,349.127441,1075.408813,-487.816071,141.612595,703.935059,-480.647919,157.577774,514.388855,-441.262604,120.618950,325.048309,-414.421417,116.823624,102.022354,-355.609589,148.330780,51.452049,-598.155945,144.415878,47.524567,-457.347839,504.721710,779.706665,-464.979858,485.664795,509.476715,-411.674377,519.362854,358.866852,-393.322174,520.818909,99.473724,-334.419098,482.091583,52.929981,-579.042786,505.487854,48.281441,,,,,,,,,,,,
22,0,-471.371857,259.434753,482.119720,-467.136292,383.637054,474.127625,-436.357025,195.913727,100.360497,-412.240204,441.439423,102.835060,-556.188232,190.551514,1017.137024,-547.399353,433.246704,1013.787048,-376.636993,253.191681,1072.810791,-368.228851,349.145996,1075.419434,-487.802185,141.609070,703.940552,-480.594727,157.552277,514.412964,-441.238403,120.621056,325.059601,-414.408295,116.820824,102.010330,-355.619904,148.341248,51.471920,-598.170532,144.419464,47.524391,-457.340912,504.738739,779.709778,-464.961456,485.781464,509.504547,-411.642334,519.361755,358.874908,-393.312256,520.822754,99.475357,-334.422180,482.090302,52.920254,-579.046448,505.500366,48.293598,,,,,,,,,,,,
23,0,-471.361786,259.441132,482.095917,-467.078644,383.371124,473.919006,-436.369049,195.910126,100.350334,-412.233765,441.446960,102.832588,-556.397705,190.472458,1016.896240,-547.407288,433.253571,1013.774536,-376.650604,253.203781,1072.824829,-368.241150,349.151947,1075.430908,-487.777496,141.616821,703.924683,-480.577942,157.577637,514.398499,-441.195282,120.606461,325.066833,-414.417725,116.813873,102.012268,-355.634979,148.338913,51.460968,-598.154419,144.410431,47.512722,-457.324951,504.752747,779.709167,-464.841644,485.633209,509.485962,-411.604126,519.403015,358.872681,-393.333130,520.812195,99.456673,-334.425629,482.086365,52.912712,-579.047913,505.490051,48.268616,,,,,,,,,,,,
24,0,-471.335632,259.437286,482.085938,-466.978790,383.370422,473.930511,-436.364929,195.915405,100.348305,-412.223541,441.455078,102.838676,-556.251526,190.555222,1017.043335,-547.402100,433.269318,1013.744019,-376.677216,253.237045,1072.831299,-368.254395,349.186066,1075.455566,-487.713104,141.617126,703.939941,-480.549500,157.593094,514.390503,-441.179901,120.631546,325.053253,-414.412109,116.809662,102.011765,-355.609436,148.329224,51.472332,-598.160461,144.418472,47.511684,-457.327057,504.760620,779.706238,-464.801208,485.662384,509.483521,-411.554871,519.398193,358.874420,-393.318909,520.814697,99.463074,-334.430237,482.079437,52.920277,-579.054749,505.489532,48.266846,,,,,,,,,,,,
25,0,-471.308014,259.446564,482.087524,-466.942566,383.395111,473.908752,-436.361359,195.900650,100.355621,-412.217560,441.445068,102.845345,-556.252075,190.563553,1017.026184,-547.428345,433.294952,1013.742554,-376.709167,253.243210,1072.843018,-368.275238,349.223633,1075.477051,-487.675262,141.626114,703.925720,-480.513550,157.576279,514.393555,-441.178833,120.636391,325.038452,-414.409790,116.811798,102.014893,-355.615234,148.345795,51.454124,-598.155762,144.409866,47.534565,-457.306244,504.754547,779.716675,-464.722900,485.646698,509.489777,-411.513123,519.387024,358.868774,-393.312103,520.809021,99.461784,-334.437439,482.085815,52.908058,-579.042786,505.483856,48.280483,,,,,,,,,,,,
26,0,-471.282715,259.450745,482.082733,-466.886749,383.376556,473.943878,-436.350220,195.914368,100.359917,-412.230927,441.457672,102.837494,-556.407166,190.507111,1016.836304,-547.432861,433.302826,1013.739441,-376.733124,253.285385,1072.867920,-368.290558,349.236481,1075.503174,-487.644226,141.645737,703.920471,-480.511871,157.609512,514.374634,-441.164093,120.644753,325.047180,-414.388641,116.803482,102.021362,-355.610352,148.349014,51.454510,-598.164856,144.425644,47.529053,-457.267639,504.779266,779.711853,-464.715729,485.657013,509.483704,-411.495239,519.411865,358.888611,-393.309753,520.809692,99.457253,-334.428314,482.091492,52.911606,-579.044373,505.482330,48.287552,,,,,,,,,,,,
27,0,-471.282959,259.490936,482.041748,-466.884155,383.416534,473.900848,-436.362915,195.931656,100.344635,-412.223083,441.461914,102.850182,-556.258301,190.619553,1016.991760,-547.401428,433.323181,1013.730042,-376.745239,253.296936,1072.882568,-368.307434,349.256287,1075.533569,-487.639252,141.668640,703.918640,-480.483490,157.600922,514.378784,-441.157959,120.643082,325.054504,-414.400085,116.799629,102.018784,-355.607025,148.330063,51.460506,-598.163879,144.433243,47.529072,-457.229706,504.797760,779.704468,-464.719208,485.667786,509.485016,-411.508209,519.449463,358.867706,-393.308258,520.824463,99.451012,-334.412506,482.085388,52.921097,-579.044373,505.499115,48.275265,,,,,,,,,,,,
28,0,-471.265808,259.501160,482.058868,-466.887970,383.394562,473.966278,-436.351227,195.926437,100.357109,-412.211029,441.464600,102.858376,-556.293457,190.650314,1016.999023,-547.385010,433.341858,1013.729309,-376.751495,253.303055,1072.889648,-368.313324,349.280151,1075.550293,-487.685852,141.700897,703.921570,-480.503967,157.646713,514.362976,-441.174622,120.645264,325.059052,-414.396179,116.801392,102.038460,-355.627563,148.348190,51.447994,-598.154724,144.416672,47.536945,-457.200867,504.815155,779.715393,-464.733429,485.714661,509.499084,-411.525818,519.440857,358.857788,-393.290710,520.819763,99.458641,-334.442780,482.090576,52.914528,-579.031616,505.486481,48.284687,,,,,,,,,,,,
29,0,-471.289734,259.506592,482.070740,-466.841736,383.408386,473.960419,-436.364136,195.928253,100.357384,-412.211914,441.469299,102.836037,-556.305054,190.679337,1016.984802,-547.394775,433.389435,1013.738403,-376.751465,253.296524,1072.892456,-368.290344,349.268890,1075.562988,-487.727081,141.739441,703.918030,-480.530029,157.643356,514.387451,-441.186005,120.660866,325.057068,-414.406464,116.820633,102.014931,-355.590485,148.345261,51.461487,-598.154663,144.435883,47.535965,-457.201935,504.856873,779.713196,-464.796997,485.787537,509.490082,-411.532440,519.460815,358.861938,-393.307434,520.824829,99.460487,-334.420074,482.100464,52.923054,-579.049377,505.488647,48.290447,,,,,,,,,,,,
