Trajectories
100
,,s29:LKNM,,,s29:RKNM,,,s29:LMED,,,s29:RMED,,,s29:LASI,,,s29:RASI,,,s29:LPSI,,,s29:RPSI,,,s29:LTHI,,,s29:LKNE,,,s29:LTIB,,,s29:LANK,,,s29:LHEE,,,s29:LTOE,,,s29:RTHI,,,s29:RKNE,,,s29:RTIB,,,s29:RANK,,,s29:RHEE,,,s29:RTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
20,0,-643.098206,227.113098,504.057159,-655.992737,348.473419,508.045013,-631.716370,160.890152,129.262451,-628.820374,406.987061,132.965637,-768.349365,166.256699,1030.235474,-751.478943,402.565094,1037.087158,-575.732300,226.285416,1059.276855,-570.096558,312.648163,1060.716675,-688.644653,89.316498,772.100708,-640.489624,116.254395,528.774780,-612.452026,86.988091,377.880096,-617.903748,88.945076,132.006348,-547.918274,123.019814,80.902550,-791.628479,94.816467,89.236191,-655.151917,469.966980,755.218201,-611.953064,444.607727,536.842896,-587.242859,474.171417,382.540710,-603.619080,476.231384,133.126343,-542.104248,434.901245,78.744225,-785.996704,472.483978,90.629257
21,0,-643.063904,227.105576,504.059021,-655.969788,348.173248,508.012939,-631.712158,160.919083,129.268021,-628.830139,407.011993,132.966904,-768.259888,166.227203,1030.206055,-751.534546,402.533173,1037.080811,-575.709900,226.325531,1059.282837,-570.126892,312.709991,1060.727417,-688.535034,89.284653,772.118652,-640.404175,116.240891,528.780457,-612.397400,87.008667,377.884949,-617.888245,88.937630,132.007004,-547.910339,123.022896,80.899063,-791.623047,94.814301,89.247696,-655.225159,469.967621,755.230225,-611.969543,444.618896,536.853577,-587.254211,474.181671,382.553101,-603.616516,476.236084,133.132202,-542.107971,434.896698,78.744537,-785.979065,472.486328,90.641663
22,0,-643.035217,227.120270,504.050323,-655.989319,348.187836,508.010498,-631.724854,160.872849,129.265030,-628.856628,406.991608,132.967850,-768.220398,166.162659,1030.196045,-751.603699,402.490753,1037.094360,-575.679993,226.386002,1059.281372,-570.129089,312.752136,1060.734985,-688.456177,89.274139,772.099060,-640.375488,116.259872,528.771057,-612.367310,87.022926,377.873779,-617.888977,88.944359,131.999603,-547.916077,123.004784,80.902351,-791.635681,94.796661,89.270012,-655.313354,469.975159,755.247009,-612.003723,444.642090,536.857605,-587.272949,474.204498,382.568909,-603.643799,476.245605,133.148895,-542.110046,434.902435,78.754547,-786.002197,472.473450,90.640862
23,0,-643.003296,227.120026,504.042755,-655.970764,348.187469,508.029388,-631.731323,160.836502,129.257019,-628.825684,407.001648,132.981186,-768.167786,166.104965,1030.183960,-751.656738,402.451355,1037.082031,-575.649109,226.417435,1059.313110,-570.147949,312.812469,1060.756470,-688.345398,89.253456,772.104248,-640.314148,116.278557,528.760681,-612.326660,87.024933,377.878906,-617.883240,88.935020,132.002899,-547.911499,123.017105,80.881889,-791.621643,94.804153,89.258110,-655.353394,469.977692,755.262573,-612.032837,444.667633,536.856873,-587.296875,474.223999,382.573242,-603.650146,476.241608,133.150574,-542.067566,434.931976,78.772659,-785.992126,472.471130,90.625748
24,0,-642.963745,227.107483,504.030640,-656.016357,348.491211,508.087341,-631.731018,160.844986,129.242081,-628.829346,407.019867,132.970581,-768.141418,166.059280,1030.158691,-751.738525,402.424255,1037.090698,-575.648071,226.482849,1059.312256,-570.165833,312.882111,1060.786133,-688.271606,89.232590,772.094971,-640.263611,116.265190,528.762756,-612.279236,87.040970,377.862122,-617.879578,88.941277,131.985321,-547.919922,123.028076,80.876083,-791.622986,94.787216,89.260574,-655.382385,469.817749,755.427246,-612.066589,444.686584,536.875977,-587.322998,474.260040,382.570557,-603.621765,476.247467,133.153610,-542.110962,434.913696,78.768364,-786.009033,472.469788,90.609825
25,0,-642.926147,227.113480,504.020325,-655.979187,348.191193,508.050385,-631.761597,160.835495,129.257004,-628.853821,407.032715,132.980362,-768.100098,166.032669,1030.143188,-751.805054,402.396515,1037.096069,-575.621399,226.526855,1059.329956,-570.192139,312.936707,1060.806641,-688.189575,89.222176,772.094238,-640.188843,116.272377,528.764465,-612.236328,87.053070,377.872955,-617.871460,88.943306,131.983261,-547.905212,123.027611,80.884789,-791.624695,94.793106,89.263565,-655.451843,469.829559,755.438293,-612.091797,444.727570,536.894104,-587.339355,474.293182,382.599152,-603.628906,476.261841,133.158447,-542.110474,434.900970,78.776794,-786.013062,472.458282,90.613647
26,0,-642.899780,227.147507,504.048279,-655.979248,348.181335,508.055389,-631.707031,160.876083,129.260071,-628.851074,407.034180,132.986237,-768.045715,165.978958,1030.123657,-751.976440,402.395172,1037.203491,-575.620728,226.574478,1059.319580,-570.228516,312.985809,1060.830566,-688.106934,89.218422,772.087830,-640.129578,116.278687,528.773743,-612.177734,87.056305,377.870605,-617.865356,88.929657,131.992645,-547.910095,123.017921,80.871956,-791.622498,94.784645,89.277229,-655.506104,469.847137,755.455078,-612.128906,444.754211,536.902344,-587.366272,474.307007,382.608063,-603.657959,476.279480,133.181671,-542.117493,434.910522,78.761574,-786.007568,472.461731,90.610558
27,0,-642.867493,227.143478,504.038818,-655.999939,348.493591,508.119171,-631.740112,160.808426,129.249481,-628.848999,407.047302,132.986618,-768.064697,165.933060,1030.129883,-752.035645,402.372803,1037.192139,-575.631287,226.591354,1059.334961,-570.268005,313.032379,1060.859619,-688.042358,89.226280,772.082092,-640.083862,116.294220,528.772400,-612.131409,87.063324,377.878510,-617.866028,88.946083,131.971252,-547.895325,123.021065,80.881592,-791.617432,94.791222,89.271179,-655.577087,469.876556,755.443726,-612.163269,444.783203,536.897949,-587.380066,474.342010,382.617798,-603.612610,476.285187,133.165771,-542.123047,434.926666,78.766434,-786.017090,472.470917,90.607346
28,0,-642.839172,227.166397,504.024445,-655.999512,348.236755,508.066223,-631.747498,160.881592,129.259293,-628.861450,407.019653,132.993942,-768.018921,165.926575,1030.113281,-752.099609,402.336395,1037.194702,-575.631348,226.639465,1059.332153,-570.300659,313.082092,1060.852051,-687.992798,89.234161,772.068054,-640.043091,116.300072,528.757751,-612.083557,87.087822,377.883728,-617.856995,88.959862,131.958832,-547.907410,123.014084,80.857903,-791.620361,94.794174,89.268272,-655.638000,469.871033,755.455383,-612.189209,444.780365,536.912598,-587.413086,474.365814,382.611176,-603.664429,476.284698,133.172516,-542.107910,434.909912,78.785477,-786.027527,472.460693,90.591850
29,0,-642.829651,227.197525,504.004486,-656.018982,348.275665,508.080536,-631.740234,160.823303,129.249390,-628.848206,407.041809,133.014511,-767.997681,165.877182,1030.099487,-752.159790,402.315002,1037.203857,-575.615723,226.665619,1059.335571,-570.330994,313.134308,1060.873779,-687.958557,89.215004,772.073242,-640.018372,116.320297,528.753601,-612.056702,87.104889,377.890289,-617.847351,88.942062,131.985291,-547.904053,123.028152,80.855316,-791.604614,94.788506,89.282173,-655.700012,469.890594,755.460876,-612.219421,444.800079,536.918213,-587.443237,474.387573,382.616608,-603.650208,476.267609,133.173157,-542.128296,434.918182,78.782692,-786.026245,472.459564,90.599945
