Subject,Vibration Side,Vibration Pair (ms),Accuracy
13,1,60,0.0
13,0,60,1.0
13,1,60,0.0
13,1,220,1.0
13,1,220,1.0
13,0,220,1.0
13,0,220,1.0
13,1,220,1.0
13,0,220,1.0
13,0,220,1.0
13,1,220,0.0
13,0,220,1.0
13,0,220,1.0
13,1,270,1.0
13,0,270,1.0
13,0,270,1.0
13,0,270,1.0
13,1,270,1.0
13,0,270,1.0
13,1,270,1.0
13,0,270,1.0
13,1,270,1.0
13,1,270,1.0
13,0,330,1.0
13,1,330,1.0
13,1,330,1.0
13,0,330,1.0
13,1,330,0.0
13,0,330,1.0
13,1,330,1.0
13,0,330,0.0
13,1,330,1.0
13,0,330,1.0
13,0,380,1.0
13,0,380,1.0
13,1,380,1.0
13,1,380,1.0
13,0,380,1.0
13,1,380,1.0
13,1,380,1.0
13,0,380,1.0
13,1,380,1.0
13,1,380,1.0
13,0,600,1.0
13,1,600,0.0
13,1,600,1.0
13,1,600,1.0
13,0,600,1.0
13,1,600,1.0
13,0,600,1.0
13,1,600,1.0
13,0,600,1.0
13,0,600,1.0
14,1,60,0.0
14,0,60,1.0
14,0,60,1.0
14,1,60,1.0
14,0,60,1.0
14,1,60,1.0
14,0,60,1.0
14,1,60,0.0
14,0,60,0.0
14,1,60,1.0
14,1,220,1.0
14,1,220,1.0
14,0,220,0.0
14,0,220,1.0
14,1,220,1.0
14,0,220,1.0
14,0,220,1.0
14,1,220,0.0
14,0,220,1.0
14,0,220,1.0
14,1,270,1.0
14,0,270,1.0
14,0,270,1.0
14,0,270,1.0
14,1,270,1.0
14,0,270,1.0
14,1,270,1.0
14,0,270,1.0
14,1,270,1.0
14,1,270,1.0
14,0,330,1.0
14,1,330,1.0
14,1,330,1.0
14,0,330,1.0
14,1,330,1.0
14,0,330,1.0
14,1,330,1.0
14,0,330,1.0
14,1,330,1.0
14,0,330,1.0
14,0,380,1.0
14,0,380,1.0
14,1,380,0.0
14,1,380,1.0
14,0,380,1.0
14,1,380,1.0
14,1,380,1.0
14,0,380,0.0
14,1,380,1.0
14,1,380,1.0
14,0,600,1.0
14,1,600,1.0
14,1,600,1.0
14,1,600,1.0
14,0,600,1.0
14,1,600,1.0
14,0,600,1.0
14,1,600,1.0
14,0,600,1.0
14,0,600,1.0
15,1,60,1.0
15,0,60,1.0
15,0,60,1.0
15,1,60,1.0
15,0,60,0.0
15,1,60,1.0
15,0,60,1.0
15,1,60,1.0
15,0,60,1.0
15,1,60,1.0
15,1,220,1.0
15,1,220,1.0
15,0,220,1.0
15,0,220,1.0
15,1,220,1.0
15,0,220,1.0
15,0,220,1.0
15,1,220,0.0
15,0,220,1.0
15,0,220,0.0
15,1,270,1.0
15,0,270,1.0
15,0,270,1.0
15,0,270,1.0
15,1,270,1.0
15,0,270,1.0
15,1,270,1.0
15,0,270,1.0
15,1,270,1.0
15,1,270,1.0
15,0,330,1.0
15,1,330,1.0
15,1,330,1.0
15,0,330,1.0
15,1,330,0.0
15,0,330,1.0
15,1,330,1.0
15,0,330,1.0
15,1,330,1.0
15,0,330,0.0
15,0,380,1.0
15,0,380,1.0
15,1,380,0.0
15,1,380,1.0
15,0,380,1.0
15,1,380,1.0
15,1,380,1.0
15,0,380,0.0
15,1,380,1.0
15,1,380,1.0
15,0,600,1.0
15,1,600,0.0
15,1,600,1.0
15,1,600,0.0
15,0,600,1.0
15,1,600,1.0
15,0,600,1.0
15,1,600,1.0
15,0,600,1.0
15,0,600,1.0
16,1,60,1.0
16,0,60,1.0
16,0,60,0.0
16,1,60,1.0
16,0,60,1.0
16,1,60,1.0
16,0,60,1.0
16,1,60,1.0
16,0,60,1.0
16,1,60,1.0
16,1,220,1.0
16,1,220,1.0
16,0,220,1.0
16,0,220,1.0
16,1,220,1.0
16,0,220,0.0
16,0,220,1.0
16,1,220,0.0
16,0,220,1.0
16,0,220,1.0
16,1,270,1.0
16,0,270,1.0
16,0,270,1.0
16,0,270,0.0
16,1,270,1.0
16,0,270,1.0
16,1,270,0.0
16,0,270,1.0
16,1,270,1.0
16,1,270,1.0
16,0,330,1.0
16,1,330,1.0
16,1,330,0.0
16,0,330,1.0
16,1,330,0.0
16,0,330,1.0
16,1,330,0.0
16,0,330,1.0
16,1,330,1.0
16,0,330,1.0
16,0,380,1.0
16,0,380,1.0
16,1,380,1.0
16,1,380,1.0
16,0,380,1.0
16,1,380,1.0
16,1,380,1.0
16,0,380,0.0
16,1,380,1.0
16,1,380,0.0
16,0,600,1.0
16,1,600,1.0
16,1,600,1.0
16,1,600,1.0
16,0,600,1.0
16,1,600,1.0
16,0,600,1.0
16,1,600,1.0
16,0,600,1.0
16,0,600,1.0
17,1,60,1.0
17,0,60,0.0
17,0,60,1.0
17,1,60,1.0
17,0,60,1.0
17,1,60,1.0
17,0,60,1.0
17,1,60,0.0
17,0,60,0.0
17,1,60,1.0
17,1,220,1.0
17,1,220,1.0
17,0,220,0.0
17,0,220,1.0
17,1,220,1.0
17,0,220,0.0
17,0,220,1.0
17,1,220,1.0
17,0,220,1.0
17,0,220,1.0
17,1,270,1.0
17,0,270,1.0
17,0,270,1.0
17,0,270,0.0
17,1,270,1.0
17,0,270,1.0
17,1,270,1.0
17,0,270,1.0
17,1,270,0.0
17,1,270,1.0
17,0,330,1.0
17,1,330,1.0
17,1,330,1.0
17,0,330,1.0
17,1,330,1.0
17,0,330,1.0
17,1,330,1.0
17,0,330,1.0
17,1,330,1.0
17,0,330,1.0
17,0,380,1.0
17,0,380,1.0
17,1,380,1.0
17,1,380,1.0
17,0,380,0.0
17,1,380,1.0
17,1,380,1.0
17,0,380,1.0
17,1,380,1.0
17,1,380,1.0
17,0,600,1.0
17,1,600,1.0
17,1,600,1.0
17,1,600,0.0
17,0,600,1.0
17,1,600,1.0
17,0,600,1.0
17,1,600,1.0
17,0,600,1.0
17,0,600,1.0
18,1,60,0.0
18,0,60,1.0
18,0,60,1.0
18,1,60,1.0
18,0,60,1.0
18,1,60,1.0
18,0,60,1.0
18,1,60,0.0
18,0,60,1.0
18,1,60,1.0
18,1,220,1.0
18,1,220,1.0
18,0,220,1.0
18,0,220,1.0
18,1,220,1.0
18,0,220,1.0
18,0,220,1.0
18,1,220,0.0
18,0,220,1.0
18,0,220,0.0
18,1,270,1.0
18,0,270,1.0
18,0,270,1.0
18,0,270,0.0
18,1,270,1.0
18,0,270,1.0
18,1,270,1.0
18,0,270,1.0
18,1,270,1.0
18,1,270,1.0
18,0,330,1.0
18,1,330,1.0
18,1,330,0.0
18,0,330,1.0
18,1,330,1.0
18,0,330,1.0
18,1,330,1.0
18,0,330,0.0
18,1,330,1.0
18,0,330,1.0
18,0,380,1.0
18,0,380,1.0
18,1,380,1.0
18,1,380,1.0
18,0,380,1.0
18,1,380,0.0
18,1,380,1.0
18,0,380,0.0
18,1,380,1.0
18,1,380,0.0
18,0,600,1.0
18,1,600,1.0
18,1,600,1.0
18,1,600,0.0
18,0,600,1.0
18,1,600,1.0
18,0,600,1.0
18,1,600,1.0
18,0,600,1.0
18,0,600,1.0
19,1,60,0.0
19,0,60,1.0
19,0,60,1.0
19,1,60,1.0
19,0,60,1.0
19,1,60,1.0
19,0,60,1.0
19,1,60,0.0
19,0,60,1.0
19,1,60,1.0
19,1,220,1.0
19,1,220,1.0
19,0,220,1.0
19,0,220,1.0
19,1,220,1.0
19,0,220,1.0
19,0,220,1.0
19,1,220,0.0
19,0,220,1.0
19,0,220,1.0
19,1,270,1.0
19,0,270,1.0
19,0,270,1.0
19,0,270,0.0
19,1,270,1.0
19,0,270,1.0
19,1,270,1.0
19,0,270,0.0
19,1,270,1.0
19,1,270,1.0
19,0,330,0.0
19,1,330,1.0
19,1,330,1.0
19,0,330,1.0
19,1,330,1.0
19,0,330,1.0
19,1,330,1.0
19,0,330,1.0
19,1,330,1.0
19,0,330,1.0
19,0,380,1.0
19,0,380,1.0
19,1,380,1.0
19,1,380,1.0
19,0,380,1.0
19,1,380,1.0
19,1,380,1.0
19,0,380,0.0
19,1,380,1.0
19,1,380,0.0
19,0,600,1.0
19,1,600,1.0
19,1,600,1.0
19,1,600,1.0
19,0,600,1.0
19,1,600,1.0
19,0,600,1.0
19,1,600,1.0
19,0,600,0.0
19,0,600,1.0
20,1,60,1.0
20,0,60,0.0
20,0,60,1.0
20,1,60,1.0
20,0,60,1.0
20,1,60,1.0
20,0,60,0.0
20,1,60,0.0
20,0,60,1.0
20,1,60,1.0
20,1,220,1.0
20,1,220,1.0
20,0,220,1.0
20,0,220,1.0
20,1,220,1.0
20,0,220,1.0
20,0,220,1.0
20,1,220,1.0
20,0,220,1.0
20,0,220,1.0
20,1,270,1.0
20,0,270,1.0
20,0,270,1.0
20,0,270,1.0
20,1,270,1.0
20,0,270,1.0
20,1,270,1.0
20,0,270,1.0
20,1,270,1.0
20,1,270,1.0
20,0,330,1.0
20,1,330,1.0
20,1,330,1.0
20,0,330,1.0
20,1,330,1.0
20,0,330,1.0
20,1,330,1.0
20,0,330,1.0
20,1,330,1.0
20,0,330,0.0
20,0,380,1.0
20,0,380,1.0
20,1,380,1.0
20,1,380,1.0
20,0,380,0.0
20,1,380,1.0
20,1,380,1.0
20,0,380,1.0
20,1,380,1.0
20,1,380,0.0
20,0,600,1.0
20,1,600,0.0
20,1,600,1.0
20,1,600,0.0
20,0,600,1.0
20,1,600,1.0
20,0,600,0.0
20,1,600,1.0
20,0,600,0.0
20,0,600,1.0
21,1,60,0.0
21,0,60,1.0
21,0,60,1.0
21,1,60,1.0
21,0,60,1.0
21,1,60,1.0
21,0,60,1.0
21,1,60,0.0
21,0,60,1.0
21,1,60,1.0
21,1,220,1.0
21,1,220,1.0
21,0,220,1.0
21,0,220,1.0
21,1,220,0.0
21,0,220,1.0
21,0,220,1.0
21,1,220,0.0
21,0,220,1.0
21,0,220,0.0
21,1,270,1.0
21,0,270,0.0
21,0,270,1.0
21,0,270,0.0
21,1,270,1.0
21,0,270,1.0
21,1,270,1.0
21,0,270,1.0
21,1,270,1.0
21,1,270,1.0
21,0,330,0.0
21,1,330,1.0
21,1,330,0.0
21,0,330,1.0
21,1,330,0.0
21,0,330,1.0
21,1,330,1.0
21,0,330,1.0
21,1,330,1.0
21,0,330,1.0
21,0,380,1.0
21,0,380,1.0
21,1,380,0.0
21,1,380,1.0
21,0,380,0.0
21,1,380,1.0
21,1,380,1.0
21,0,380,1.0
21,1,380,1.0
21,1,380,1.0
21,0,600,1.0
21,1,600,1.0
21,1,600,1.0
21,1,600,0.0
21,0,600,1.0
21,1,600,1.0
21,0,600,1.0
21,1,600,1.0
21,0,600,1.0
21,0,600,1.0
22,1,60,1.0
22,0,60,0.0
22,0,60,1.0
22,1,60,1.0
22,0,60,0.0
22,1,60,1.0
22,0,60,1.0
22,1,60,0.0
22,0,60,1.0
22,1,60,1.0
22,1,220,1.0
22,1,220,1.0
22,0,220,1.0
22,0,220,1.0
22,1,220,1.0
22,0,220,1.0
22,0,220,1.0
22,1,220,0.0
22,0,220,1.0
22,0,220,0.0
22,1,270,1.0
22,0,270,1.0
22,0,270,1.0
22,0,270,0.0
22,1,270,1.0
22,0,270,1.0
22,1,270,1.0
22,0,270,1.0
22,1,270,1.0
22,1,270,1.0
22,0,330,1.0
22,1,330,1.0
22,1,330,1.0
22,0,330,1.0
22,1,330,1.0
22,0,330,1.0
22,1,330,1.0
22,0,330,0.0
22,1,330,1.0
22,0,330,1.0
22,0,380,1.0
22,0,380,1.0
22,1,380,1.0
22,1,380,1.0
22,0,380,1.0
22,1,380,1.0
22,1,380,1.0
22,0,380,1.0
22,1,380,1.0
22,1,380,0.0
22,0,600,1.0
22,1,600,1.0
22,1,600,1.0
22,1,600,0.0
22,0,600,1.0
22,1,600,1.0
22,0,600,1.0
22,1,600,0.0
22,0,600,0.0
22,0,600,1.0
23,1,60,1.0
23,0,60,1.0
23,0,60,0.0
23,1,60,1.0
23,0,60,0.0
23,1,60,1.0
23,0,60,1.0
23,1,60,0.0
23,0,60,1.0
23,1,60,0.0
23,1,220,1.0
23,1,220,1.0
23,0,220,1.0
23,0,220,1.0
23,1,220,1.0
23,0,220,1.0
23,0,220,1.0
23,1,220,0.0
23,0,220,1.0
23,0,220,1.0
23,1,270,1.0
23,0,270,1.0
23,0,270,1.0
